category,name,winner,award,href,year,film
Actor,Bradley Cooper,0,Oscar,/wiki/American_Sniper,2014,American Sniper
Actor,Benedict Cumberbatch,0,Oscar,/wiki/The_Imitation_Game,2014,The Imitation Game
Actor,Michael Keaton,0,Oscar,/wiki/Birdman_(film),2014,Birdman
Actor,Leonardo DiCaprio,1,Oscar,/wiki/The_Revenant_(2015_film),2015,The Revenant
Actor,Bryan Cranston,0,Oscar,/wiki/Trumbo_(2015_film),2015,Trumbo
Actor,Matt Damon,0,Oscar,/wiki/The_Martian_(film),2015,The Martian
Actor,Michael Fassbender,0,Oscar,/wiki/Steve_Jobs_(film),2015,Steve Jobs
Actor,Eddie Redmayne,0,Oscar,/wiki/The_Danish_Girl_(film),2015,The Danish Girl
Actor,Casey Affleck,0,Oscar,/wiki/Manchester_by_the_Sea_(film),2016,Manchester by the Sea
Actor,Andrew Garfield,0,Oscar,/wiki/Hacksaw_Ridge,2016,Hacksaw Ridge
Actor,Ryan Gosling,0,Oscar,/wiki/La_La_Land_(film),2016,La La Land
Actor,Viggo Mortensen,0,Oscar,/wiki/Captain_Fantastic_(film),2016,Captain Fantastic
Actor,Denzel Washington,0,Oscar,/wiki/Fences_(film),2016,Fences
Actress,Elizabeth Taylor,1,Oscar,/wiki/BUtterfield_8,1960,BUtterfield 8
Actress,Greer Garson,0,Oscar,/wiki/Sunrise_at_Campobello,1960,Sunrise at Campobello
Actress,Deborah Kerr,0,Oscar,/wiki/The_Sundowners,1960,The Sundowners
Actress,Shirley MacLaine,0,Oscar,/wiki/The_Apartment,1960,The Apartment
Actress,Melina Mercouri,0,Oscar,/wiki/Never_on_Sunday,1960,Never on Sunday
Actress,Sophia Loren,1,Oscar,/wiki/Two_Women,1961,Two Women
Actress,Audrey Hepburn,0,Oscar,/wiki/Breakfast_at_Tiffany%27s_(film),1961,Breakfast at Tiffany's
Actress,Piper Laurie,0,Oscar,/wiki/The_Hustler_(film),1961,The Hustler
