category,name,winner,award,href,year,film,fti_id
Actor,Nicolas Cage,1,Oscar,/wiki/Leaving_Las_Vegas,1995,Leaving Las Vegas,176
Actor,Richard Dreyfuss,0,Oscar,/wiki/Mr._Holland%27s_Opus,1995,Mr. Holland's Opus,177
Actor,Anthony Hopkins,0,Oscar,/wiki/Nixon_(film),1995,Nixon,178
Actor,Sean Penn,0,Oscar,/wiki/Dead_Man_Walking_(film),1995,Dead Man Walking,179
Actor,Massimo Troisi,0,Oscar,/wiki/Il_Postino,1995,Il Postino,180
Actor,Geoffrey Rush,1,Oscar,/wiki/Shine_(film),1996,Shine,181
Actor,Tom Cruise,0,Oscar,/wiki/Jerry_Maguire,1996,Jerry Maguire,182
Actor,Ralph Fiennes,0,Oscar,/wiki/The_English_Patient_(film),1996,The English Patient,183
Actor,Woody Harrelson,0,Oscar,/wiki/The_People_vs._Larry_Flynt,1996,The People vs. Larry Flynt,184
Actor,Billy Bob Thornton,0,Oscar,/wiki/Sling_Blade,1996,Sling Blade,185
Actor,Jack Nicholson,1,Oscar,/wiki/As_Good_as_It_Gets,1997,As Good as It Gets,186
Actor,Matt Damon,0,Oscar,/wiki/Good_Will_Hunting,1997,Good Will Hunting,187
Actor,Robert Duvall,0,Oscar,/wiki/The_Apostle,1997,The Apostle,188
Actor,Peter Fonda,0,Oscar,/wiki/Ulee%27s_Gold,1997,Ulee's Gold,189
Actor,Dustin Hoffman,0,Oscar,/wiki/Wag_the_Dog,1997,Wag the Dog,190
Actor,Roberto Benigni,1,Oscar,/wiki/Life_Is_Beautiful,1998,Life Is Beautiful,191
Actor,Tom Hanks,0,Oscar,/wiki/Saving_Private_Ryan,1998,Saving Private Ryan,192
Actor,Ian McKellen,0,Oscar,/wiki/Gods_and_Monsters_(film),1998,Gods and Monsters,193
Actor,Nick Nolte,0,Oscar,/wiki/Affliction_(film),1998,Affliction,194
Actor,Edward Norton,0,Oscar,/wiki/American_History_X,1998,American History X,195
Actor,Kevin Spacey,1,Oscar,/wiki/American_Beauty_(1999_film),1999,American Beauty,196
Actor,Russell Crowe,0,Oscar,/wiki/The_Insider_(film),1999,The Insider,197
Actor,Richard Farnsworth,0,Oscar,/wiki/The_Straight_Story,1999,The Straight Story,198
Actor,Sean Penn,0,Oscar,/wiki/Sweet_and_Lowdown,1999,Sweet and Lowdown,199
Actor,Denzel Washington,0,Oscar,/wiki/The_Hurricane_(1999_film),1999,The Hurricane,200
Actor,Russell Crowe,1,Oscar,/wiki/Gladiator_(2000_film),2000,Gladiator,201
Actor,Javier Bardem,0,Oscar,/wiki/Before_Night_Falls_(film),2000,Before Night Falls,202
Actor,Tom Hanks,0,Oscar,/wiki/Cast_Away,2000,Cast Away,203
Actor,Ed Harris,0,Oscar,/wiki/Pollock_(film),2000,Pollock,204
Actor,Geoffrey Rush,0,Oscar,/wiki/Quills,2000,Quills,205
