award,category,film,href,name,winner,year
Oscar,Adapted Screenplay,The Insider,/wiki/The_Insider_(film),Michael Mann,0,1999
Oscar,Adapted Screenplay,The Talented Mr. Ripley,/wiki/The_Talented_Mr._Ripley_(film),Anthony Minghella,0,1999
Oscar,Adapted Screenplay,Traffic,/wiki/Traffic_(2000_film),Stephen Gaghan,1,2000
Oscar,Adapted Screenplay,Chocolat,/wiki/Chocolat_(2000_film),Robert Nelson Jacobs,0,2000
Oscar,Adapted Screenplay,"Crouching Tiger, Hidden Dragon","/wiki/Crouching_Tiger,_Hidden_Dragon",Hui-Ling Wang,0,2000
Oscar,Adapted Screenplay,"O Brother, Where Art Thou?","/wiki/O_Brother,_Where_Art_Thou%3F",Joel Coen Ethan Coen,0,2000
Oscar,Adapted Screenplay,Wonder Boys,/wiki/Wonder_Boys_(film),Steve Kloves,0,2000
Oscar,Adapted Screenplay,A Beautiful Mind,/wiki/A_Beautiful_Mind_(film),Akiva Goldsman,1,2001
Oscar,Adapted Screenplay,Ghost World,/wiki/Ghost_World_(film),Daniel Clowes,0,2001
Oscar,Adapted Screenplay,In the Bedroom,/wiki/In_the_Bedroom,Todd Field,0,2001
Oscar,Adapted Screenplay,The Lord of the Rings: The Fellowship of the Ring,/wiki/The_Lord_of_the_Rings:_The_Fellowship_of_the_Ring,Fran Walsh,0,2001
Oscar,Adapted Screenplay,Shrek,/wiki/Shrek,Ted Elliott,0,2001
Oscar,Adapted Screenplay,The Pianist,/wiki/The_Pianist_(2002_film),Ronald Harwood,1,2002
Oscar,Adapted Screenplay,About a Boy,/wiki/About_a_Boy_(film),Peter Hedges,0,2002
Oscar,Adapted Screenplay,Adaptation,/wiki/Adaptation_(film),Charlie Kaufman,0,2002
Oscar,Adapted Screenplay,Chicago,/wiki/Chicago_(2002_film),Bill Condon,0,2002
Oscar,Adapted Screenplay,The Hours,/wiki/The_Hours_(film),David Hare,0,2002
Oscar,Adapted Screenplay,The Lord of the Rings: The Return of the King,/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,Fran Walsh,1,2003
Oscar,Adapted Screenplay,American Splendor,/wiki/American_Splendor_(film),Shari Springer Berman Robert Pulcini,0,2003
