year,category,film,name,BAFTA,Golden Globe,Guild,Oscar,running_time,box_office,imdb_score,rt_audience_score,rt_critic_score,stars_count,writers_count,produced_USA,R,PG,PG13,G,q1_release,q2_release,q3_release,q4_release
1992,Actor,Unforgiven,Clint Eastwood,0.0,0.0,0.0,0.0,131,159200000.0,8.3,93.0,95.0,4.0,1.0,1,1,0,0,0,0,0,1,0
1992,Actor,The Crying Game,Stephen Rea,0.0,0.0,0.0,0.0,111,62500000.0,7.3,78.0,97.0,4.0,1.0,0,1,0,0,0,1,0,0,0
1992,Actor,Malcolm X,Denzel Washington,0.0,0.0,0.0,0.0,202,48200000.0,7.7,91.0,91.0,6.0,1.0,1,0,0,1,0,0,0,0,1
1993,Actor,Philadelphia,Tom Hanks,0.0,1.0,0.0,1.0,126,206700000.0,7.7,89.0,78.0,5.0,1.0,1,0,0,1,0,1,0,0,0
1993,Actor,In the Name of the Father,Daniel Day-Lewis,0.0,0.0,0.0,0.0,133,65800000.0,8.1,95.0,94.0,3.0,1.0,0,1,0,0,0,1,0,0,0
1993,Actor,What's Love Got to Do with It,Laurence Fishburne,0.0,0.0,0.0,0.0,118,39100956.0,7.2,88.0,96.0,2.0,1.0,1,1,0,0,0,0,1,0,0
1993,Actor,The Remains of the Day,Anthony Hopkins,0.0,0.0,0.0,0.0,134,63900000.0,7.9,89.0,97.0,8.0,1.0,0,0,1,0,0,0,0,0,1
1993,Actor,Schindler's List,Liam Neeson,0.0,0.0,0.0,0.0,197,321200000.0,8.9,97.0,96.0,6.0,1.0,1,1,0,0,0,1,0,0,0
1994,Actor,Forrest Gump,Tom Hanks,0.0,1.0,1.0,1.0,142,677900000.0,8.8,95.0,72.0,5.0,1.0,1,0,0,1,0,0,0,1,0
1994,Actor,The Shawshank Redemption,Morgan Freeman,0.0,0.0,0.0,0.0,142,58000000.0,9.3,98.0,91.0,7.0,1.0,1,1,0,0,0,0,0,0,1
1994,Actor,The Madness of King George,Nigel Hawthorne,0.0,0.0,0.0,0.0,110,15200000.0,7.2,80.0,93.0,6.0,1.0,0,0,0,1,0,0,0,0,1
1994,Actor,Nobody's Fool,Paul Newman,0.0,0.0,0.0,0.0,110,39491975.0,7.4,81.0,91.0,3.0,1.0,1,1,0,0,0,1,0,0,0
1994,Actor,Pulp Fiction,John Travolta,0.0,0.0,0.0,0.0,154,213900000.0,8.9,96.0,94.0,12.0,1.0,1,1,0,0,0,0,0,0,1
1995,Actor,Leaving Las Vegas,Nicolas Cage,0.0,1.0,1.0,1.0,112,32029928.0,7.6,85.0,90.0,3.0,1.0,1,1,0,0,0,1,0,0,0
1995,Actor,Mr. Holland's Opus,Richard Dreyfuss,0.0,0.0,0.0,0.0,143,106269971.0,7.3,83.0,74.0,4.0,1.0,1,0,1,0,0,1,0,0,0
1995,Actor,Nixon,Anthony Hopkins,0.0,0.0,0.0,0.0,192,13700000.0,7.1,74.0,75.0,12.0,1.0,1,1,0,0,0,1,0,0,0
1995,Actor,Dead Man Walking,Sean Penn,0.0,0.0,0.0,0.0,122,83000000.0,7.6,86.0,95.0,6.0,1.0,1,1,0,0,0,1,0,0,0
1995,Actor,Il Postino,Massimo Troisi,0.0,0.0,0.0,0.0,108,21848932.0,7.8,94.0,93.0,3.0,1.0,0,0,1,0,0,1,0,0,0
1996,Actor,Shine,Geoffrey Rush,1.0,1.0,1.0,1.0,105,35900000.0,7.7,90.0,91.0,5.0,1.0,0,0,0,1,0,1,0,0,0
1996,Actor,Jerry Maguire,Tom Cruise,0.0,1.0,0.0,0.0,138,273600000.0,7.3,79.0,82.0,7.0,1.0,1,1,0,0,0,0,0,0,1
1996,Actor,The English Patient,Ralph Fiennes,0.0,0.0,0.0,0.0,162,232000000.0,7.4,83.0,84.0,8.0,1.0,0,1,0,0,0,0,0,0,1
1996,Actor,The People vs. Larry Flynt,Woody Harrelson,0.0,0.0,0.0,0.0,129,20300000.0,7.3,80.0,87.0,3.0,1.0,1,1,0,0,0,1,0,0,0
1996,Actor,Sling Blade,Billy Bob Thornton,0.0,0.0,0.0,0.0,135,24400000.0,8.0,93.0,96.0,7.0,1.0,1,1,0,0,0,1,0,0,0
1997,Actor,As Good as It Gets,Jack Nicholson,0.0,1.0,1.0,1.0,139,314178011.0,7.7,86.0,86.0,6.0,1.0,1,0,0,1,0,0,0,0,1
1997,Actor,Good Will Hunting,Matt Damon,0.0,0.0,0.0,0.0,126,225900000.0,8.3,94.0,97.0,5.0,2.0,1,1,0,0,0,1,0,0,0
1997,Actor,The Apostle,Robert Duvall,0.0,0.0,0.0,0.0,134,19868354.0,7.2,78.0,89.0,4.0,1.0,1,0,0,1,0,1,0,0,0
1997,Actor,Ulee's Gold,Peter Fonda,0.0,1.0,0.0,0.0,113,9054736.0,7.1,74.0,94.0,9.0,1.0,1,1,0,0,0,0,0,1,0
1997,Actor,Wag the Dog,Dustin Hoffman,0.0,0.0,0.0,0.0,97,64256513.0,7.1,76.0,85.0,7.0,1.0,1,1,0,0,0,1,0,0,0
1998,Actor,Life Is Beautiful,Roberto Benigni,0.0,0.0,1.0,1.0,116,229200000.0,8.6,96.0,80.0,2.0,1.0,0,0,0,1,0,1,0,0,0
1998,Actor,Saving Private Ryan,Tom Hanks,0.0,0.0,0.0,0.0,169,481800000.0,8.6,95.0,92.0,4.0,1.0,1,1,0,0,0,0,0,1,0
1998,Actor,Gods and Monsters,Ian McKellen,0.0,0.0,0.0,0.0,105,6500000.0,7.5,83.0,95.0,4.0,1.0,0,1,0,0,0,0,0,0,1
1998,Actor,Affliction,Nick Nolte,0.0,0.0,0.0,0.0,114,6330054.0,7.0,72.0,87.0,6.0,1.0,1,1,0,0,0,1,0,0,0
1998,Actor,American History X,Edward Norton,0.0,0.0,0.0,0.0,119,23900000.0,8.6,96.0,83.0,7.0,1.0,1,1,0,0,0,0,0,0,1
1999,Actor,American Beauty,Kevin Spacey,1.0,0.0,1.0,1.0,122,356300000.0,8.4,93.0,88.0,8.0,1.0,1,1,0,0,0,0,0,0,1
1999,Actor,The Insider,Russell Crowe,0.0,0.0,0.0,0.0,157,60200000.0,7.9,90.0,96.0,8.0,2.0,1,1,0,0,0,0,0,0,1
